review,class,segmenter
It is a very efficiently run Practice.,Administrative Process,spacy
Services is quick with clear instructions.,Administrative Process,spacy
Dates I was going to be abroad not correctly recoded (wrong month),Administrative Process,sentence_transformer
It’s a brilliant practice Managed well and staff very helpful,Administrative Process,sentence_transformer
I had a face to face appt and when she saw me instead if asking me how I was feeling she told me that my appointement was on the phone which wasn't i still have the message from the reception and I did confirm with them,Administrative Process,sentence_transformer
Please notify participants when the GP is running late,Administrative Process,sentence_transformer
No one rang,Administrative Process,sentence_transformer
Sistem is broken down,Administrative Process,sentence_transformer
The reception sorted the matter out immediately,Administrative Process,sentence_transformer
Scarsdale Surgery does try very hard to accommodate as far as possible,Administrative Process,sentence_transformer
my referral was sent back to the GP surgery and the only reason i was able to get referred to the correct hospital was by myself following up to see why i had not had an appointment,Administrative Process,sentence_transformer
My concerns were dealt with quickly and efficiently,Administrative Process,sentence_transformer
Did not get the name of the `GP I was speaking to,Administrative Process,sentence_transformer
As always great team of secretaries amazing doctors,Administrative Process,sentence_transformer
"The best part of my interaction with the Rec/Admin Staff at KPMC has always been their keen interest to help,",Administrative Process,llm
Super helpful staff,Administrative Process,sentence_transformer
Staff always exceptionally kind and helpful,Administrative Process,sentence_transformer
Staff is always kind and helpful,Administrative Process,sentence_transformer
Everything is always smooth and the team always friendly and helpful,Administrative Process,sentence_transformer
It's never difficult to get an appointment,Appointment Availability & Access,sentence_transformer
"I WAS SEEN BY A DOCTOR, WITHOUT AN APOINTMENT, AS I HAD SEVERE PAINS, AND PAIN KILLERS WAS NOT BEING HEPFUL",Appointment Availability & Access,llm
Sometimes we do wait a long time for an appointment,Appointment Availability & Access,llm
Maybe more face to face interaction with the GP,Appointment Availability & Access,llm
It was easy to make an appointment with Dr Chua.,Appointment Availability & Access,spacy
We usually wait 10-15minutes for the appointment.,Appointment Availability & Access,spacy
It was fast,Appointment Availability & Access,spacy
on time,Appointment Availability & Access,spacy
and after more than 5 hours waiting I am still here,Appointment Availability & Access,sentence_transformer
Takes a lot of efforts to book your appointment,Appointment Availability & Access,sentence_transformer
Naymark was pleasant and attentive and got me the early appointment I wanted,Appointment Availability & Access,sentence_transformer
I came for a fibrillation test. No appointment needed and didn’t have to wait long,Appointment Availability & Access,sentence_transformer
Making an appointment is difficult,Appointment Availability & Access,sentence_transformer
I didn’t have to wait at all.,Appointment Availability & Access,sentence_transformer
It was not difficult to make an appointment,Appointment Availability & Access,sentence_transformer
send more communication and try to be more effective with appointments.,Appointment Availability & Access,spacy
Managed to get a appointment fairly early with my own GP,Appointment Availability & Access,sentence_transformer
Maybe to be able to make an appointment in the future in less that 10days time.,Appointment Availability & Access,sentence_transformer
Tends to be quite a long wait but the staff are always helpful.,Appointment Availability & Access,sentence_transformer
I had already had other visits with her,Appointment Availability & Access,sentence_transformer
Appointment time was suitable with no waiting time,Appointment Availability & Access,sentence_transformer
To see a Dr face to face,Appointment Availability & Access,sentence_transformer
Yes getting seen quicker or having a later slot,Appointment Availability & Access,sentence_transformer
Quick to the point and very little waiting,Appointment Availability & Access,sentence_transformer
I needed to see doctor asap but was told that duty doctor will ring me,Appointment Availability & Access,sentence_transformer
nothing to improve except the waiting time for the appointment,Appointment Availability & Access,sentence_transformer
I wish morning and afternoon appointments were longer hours.,Appointment Availability & Access,sentence_transformer
Very efficient - did not have to wait too long - both for the actual appointment and similarly for the test results.,Appointment Availability & Access,sentence_transformer
The doctor came and visited me at home with a nurse,Appointment Availability & Access,sentence_transformer
It was quick and not much time wasted,Appointment Availability & Access,sentence_transformer
Easy to book an appointment,Appointment Availability & Access,sentence_transformer
Very easy to make appointment at very short notice Very good treatment from dr with follow up options made available,Appointment Availability & Access,sentence_transformer
